,Alfa,Beta,Q,Taxa de Atualização,Taxa de Evaporação,Melhor Aptidão - Média,Melhor Aptidão - Desvio Padrão,Aptidão Média - Média,Aptidão Média - Desvio Padrão
31,1.0,5.0,200,0.1,0.5,864.0,0.0,865.767,0.378
32,1.0,5.0,500,0.001,0.005,864.0,0.0,864.0,0.0
33,1.0,5.0,500,0.001,0.5,864.0,0.0,864.0,0.0
35,1.0,5.0,500,0.1,0.5,864.0,0.0,864.912,0.589
36,2.5,1.0,100,0.001,0.005,864.0,0.0,864.0,0.0
37,2.5,1.0,100,0.001,0.5,864.0,0.0,864.0,0.0
38,2.5,1.0,100,0.1,0.005,864.0,0.0,864.0,0.0
39,2.5,1.0,100,0.1,0.5,864.0,0.0,864.0,0.0
40,2.5,1.0,200,0.001,0.005,864.0,0.0,864.0,0.0
41,2.5,1.0,200,0.001,0.5,864.0,0.0,864.0,0.0
42,2.5,1.0,200,0.1,0.005,864.0,0.0,864.0,0.0
43,2.5,1.0,200,0.1,0.5,864.0,0.0,864.0,0.0
44,2.5,1.0,500,0.001,0.005,864.0,0.0,864.0,0.0
45,2.5,1.0,500,0.001,0.5,864.0,0.0,864.0,0.0
46,2.5,1.0,500,0.1,0.005,864.0,0.0,864.0,0.0
47,2.5,1.0,500,0.1,0.5,864.0,0.0,864.0,0.0
48,2.5,2.5,100,0.001,0.005,864.0,0.0,864.0,0.0
49,2.5,2.5,100,0.001,0.5,864.0,0.0,864.0,0.0
50,2.5,2.5,100,0.1,0.005,864.0,0.0,864.0,0.0
51,2.5,2.5,100,0.1,0.5,864.0,0.0,864.0,0.0
52,2.5,2.5,200,0.001,0.005,864.0,0.0,864.0,0.0
53,2.5,2.5,200,0.001,0.5,864.0,0.0,864.0,0.0
54,2.5,2.5,200,0.1,0.005,864.0,0.0,864.0,0.0
55,2.5,2.5,200,0.1,0.5,864.0,0.0,864.0,0.0
56,2.5,2.5,500,0.001,0.005,864.0,0.0,864.0,0.0
57,2.5,2.5,500,0.001,0.5,864.0,0.0,864.0,0.0
58,2.5,2.5,500,0.1,0.005,864.0,0.0,864.0,0.0
59,2.5,2.5,500,0.1,0.5,864.0,0.0,864.0,0.0
60,2.5,5.0,100,0.001,0.005,864.0,0.0,864.0,0.0
61,2.5,5.0,100,0.001,0.5,864.0,0.0,864.0,0.0
62,2.5,5.0,100,0.1,0.005,864.0,0.0,864.15,0.317
63,2.5,5.0,100,0.1,0.5,864.0,0.0,864.0,0.0
64,2.5,5.0,200,0.001,0.005,864.0,0.0,864.0,0.0
65,2.5,5.0,200,0.001,0.5,864.0,0.0,864.0,0.0
66,2.5,5.0,200,0.1,0.005,864.0,0.0,864.0,0.0
67,2.5,5.0,200,0.1,0.5,864.0,0.0,864.0,0.0
68,2.5,5.0,500,0.001,0.005,864.0,0.0,864.0,0.0
69,2.5,5.0,500,0.001,0.5,864.0,0.0,864.0,0.0
70,2.5,5.0,500,0.1,0.005,864.0,0.0,864.0,0.0
71,2.5,5.0,500,0.1,0.5,864.0,0.0,864.0,0.0
72,5.0,1.0,100,0.001,0.005,864.0,0.0,864.0,0.0
73,5.0,1.0,100,0.001,0.5,864.0,0.0,864.0,0.0
74,5.0,1.0,100,0.1,0.005,864.0,0.0,864.0,0.0
75,5.0,1.0,100,0.1,0.5,864.0,0.0,864.0,0.0
76,5.0,1.0,200,0.001,0.005,864.0,0.0,864.0,0.0
77,5.0,1.0,200,0.001,0.5,864.0,0.0,864.0,0.0
78,5.0,1.0,200,0.1,0.005,864.0,0.0,864.0,0.0
79,5.0,1.0,200,0.1,0.5,864.0,0.0,864.0,0.0
80,5.0,1.0,500,0.001,0.005,864.0,0.0,864.0,0.0
81,5.0,1.0,500,0.001,0.5,864.0,0.0,864.0,0.0
82,5.0,1.0,500,0.1,0.005,864.0,0.0,864.0,0.0
83,5.0,1.0,500,0.1,0.5,864.0,0.0,864.0,0.0
84,5.0,2.5,100,0.001,0.005,864.0,0.0,864.0,0.0
85,5.0,2.5,100,0.001,0.5,864.0,0.0,864.0,0.0
86,5.0,2.5,100,0.1,0.005,864.0,0.0,864.0,0.0
87,5.0,2.5,100,0.1,0.5,864.0,0.0,864.0,0.0
88,5.0,2.5,200,0.001,0.005,864.0,0.0,864.0,0.0
89,5.0,2.5,200,0.001,0.5,864.0,0.0,864.0,0.0
90,5.0,2.5,200,0.1,0.005,864.0,0.0,864.0,0.0
91,5.0,2.5,200,0.1,0.5,864.0,0.0,864.0,0.0
92,5.0,2.5,500,0.001,0.005,864.0,0.0,864.0,0.0
93,5.0,2.5,500,0.001,0.5,864.0,0.0,864.0,0.0
94,5.0,2.5,500,0.1,0.005,864.0,0.0,864.0,0.0
95,5.0,2.5,500,0.1,0.5,864.0,0.0,864.0,0.0
96,5.0,5.0,100,0.001,0.005,864.0,0.0,864.0,0.0
97,5.0,5.0,100,0.001,0.5,864.0,0.0,864.0,0.0
98,5.0,5.0,100,0.1,0.005,864.0,0.0,864.0,0.0
99,5.0,5.0,100,0.1,0.5,864.0,0.0,864.0,0.0
100,5.0,5.0,200,0.001,0.005,864.0,0.0,864.0,0.0
101,5.0,5.0,200,0.001,0.5,864.0,0.0,864.0,0.0
102,5.0,5.0,200,0.1,0.005,864.0,0.0,864.0,0.0
103,5.0,5.0,200,0.1,0.5,864.0,0.0,864.0,0.0
104,5.0,5.0,500,0.001,0.005,864.0,0.0,864.0,0.0
105,5.0,5.0,500,0.001,0.5,864.0,0.0,864.0,0.0
106,5.0,5.0,500,0.1,0.005,864.0,0.0,864.0,0.0
107,5.0,5.0,500,0.1,0.5,864.0,0.0,864.0,0.0
