,Taxa de Cruzamento,Taxa de Mutação,Tamanho da População,Número de Gerações,Melhor Aptidão - Média,Melhor Aptidão - Desvio Padrão,Aptidão Média - Média,Aptidão Média - Desvio Padrão
46,1.0,0.05,25,50,0.4533853815116129,0.5331031020214126,0.8627088372188231,0.7968683534962003
59,0.6,0.1,50,100,0.46640079017465197,0.4165214049404935,1.4531613394641525,0.7079467703545881
11,0.8,0.01,25,100,0.4716823624356953,0.5282603673281732,0.5757428096602244,0.5878288069058406
75,1.0,0.1,50,25,0.48201773881749765,0.46024309911426453,1.4504122269352522,0.431414463266505
20,1.0,0.01,25,100,0.48365091935315874,0.5308365679729723,0.6443705544392523,0.6387688059500403
9,0.8,0.01,25,25,0.4884848860597601,0.4803262400646706,0.6195250668926906,0.5452393521103278
71,0.8,0.1,100,100,0.5610142275657368,0.40380512155437204,1.647068710916162,0.5178891826733117
47,1.0,0.05,25,100,0.5738872991944818,0.5264427212212666,0.9843586641353292,0.4315125704688017
76,1.0,0.1,50,50,0.5757301950456267,0.48834169677978445,1.3568293720585864,0.5668087842878601
73,1.0,0.1,25,50,0.6129889439379526,0.532548927435601,1.3161023868173718,0.6419950143822161
45,1.0,0.05,25,25,0.6273159921138679,0.46334641148971983,1.0182157080761534,0.5442217875789366
77,1.0,0.1,50,100,0.6352001650071146,0.4705261623445842,1.5381878722169802,0.46616387600078746
36,0.8,0.05,25,25,0.6469342675368904,0.45123225712739296,1.1520384078343913,0.4790925703982218
54,0.6,0.1,25,25,0.6642538672979368,0.4811520470274559,1.376692329755278,0.2995584480850457
67,0.8,0.1,50,50,0.6689387266383247,0.46521491100191426,1.650714409594355,0.5517342462044855
65,0.8,0.1,25,100,0.680137797034093,0.506286320830527,1.2483607390416591,0.37227556468186634
27,0.6,0.05,25,25,0.6969364548880148,0.46079919341446135,1.2633773773512225,0.5333923588251115
57,0.6,0.1,50,25,0.7018865065469677,0.42572546178043746,1.6110330066877159,0.5775100562555135
74,1.0,0.1,25,100,0.7022162283076946,0.4487532862275717,1.6374943138477287,0.3495729190179571
58,0.6,0.1,50,50,0.7222101298704691,0.5034900893692542,1.5662079051390165,0.4646627827940589
63,0.8,0.1,25,25,0.7505207128944403,0.45240086649789935,1.5446974856792068,0.3449345137911839
29,0.6,0.05,25,100,0.7552708765640255,0.5062668458481541,1.1037479112092419,0.5337962389098745
72,1.0,0.1,25,25,0.7597631290708408,0.4248595839298255,1.5844793463290394,0.66273598212238
56,0.6,0.1,25,100,0.7662979513290279,0.45155485154492037,1.5527144672293527,0.3768851444170039
38,0.8,0.05,25,100,0.8227668210885442,0.37437068501166537,1.2509673551396712,0.3245820944742365
64,0.8,0.1,25,50,0.82494887564254,0.4262619911573613,1.4110588104139818,0.4300330819419187
55,0.6,0.1,25,50,0.8979816761918333,0.36369444945713764,1.5755949369819124,0.3484539146296776
