,Topologia,Influência da velocidade (w),Influência cognitiva (c1),Influência social (c2),Melhor Aptidão - Média,Melhor Aptidão - Desvio Padrão,Aptidão Média - Média,Aptidão Média - Desvio Padrão,Número de iterações - Média
61,global,0.1,2.0,1.0,0.0010690703463017038,0.0021065638661368017,0.001069070346302386,0.0021065638661366183,82.4
5,focal,0.1,1.0,2.0,0.0012034910511489194,0.00266744627142087,0.0012034911241881475,0.002667446309395158,162.2
58,global,0.1,1.0,1.0,0.0034070956721408583,0.007696082657151271,0.0034070956721418176,0.007696082657151976,83.0
0,focal,0.1,0.5,0.5,0.003579330755223342,0.005623912592803547,0.0035793307571064473,0.005623912593423638,90.2
6,focal,0.1,2.0,0.5,0.006516071393726808,0.017697648060102458,0.03897620299801598,0.014581020213679616,118.3
55,global,0.1,0.5,1.0,0.007507596807299866,0.008286437833266512,0.007507596807300683,0.008286437833267102,89.2
3,focal,0.1,1.0,0.5,0.009206887350822247,0.02100805314974425,0.00920826612535928,0.02100738551918831,96.0
2,focal,0.1,0.5,2.0,0.010820878960072111,0.025337483094271487,0.010820878987990735,0.025337483085947892,157.9
33,ring,0.1,2.0,0.5,0.03367426631447197,0.023601170360582863,0.23264604582947537,0.3179599023208246,374.3
28,ring,0.1,0.5,1.0,0.041422659390523454,0.05220701351803112,0.04153985407921312,0.05216266722665174,467.6
30,ring,0.1,1.0,0.5,0.047277444194597694,0.030906551005426098,0.11170782587074654,0.1405108961995414,398.9
7,focal,0.1,2.0,1.0,0.05167533791428989,0.07763025059334872,0.05167533791429176,0.07763025059334801,96.5
27,ring,0.1,0.5,0.5,0.06095126817010206,0.039159930136034166,0.06290010266210508,0.04085802731162143,500.0
31,ring,0.1,1.0,1.0,0.0635485304047358,0.06285964534947332,0.06356163453931694,0.06285557116107147,451.6
4,focal,0.1,1.0,1.0,0.07500515720100269,0.11310831689401288,0.07500515720100294,0.11310831689401277,94.2
34,ring,0.1,2.0,1.0,0.07997478962355453,0.11937850445611264,0.08012763081339282,0.11930981563229898,480.4
1,focal,0.1,0.5,1.0,0.12066607691313865,0.17648163411215462,0.1206660769131393,0.176481634112155,94.9
56,global,0.1,0.5,2.0,0.21200533615989564,0.6704197383749216,0.21200533615989592,0.6704197383749223,74.8
68,global,0.5,1.0,2.0,0.21200533615992123,0.6704197383749126,0.21200533649456876,0.6704197382600386,110.9
45,ring,1.0,0.5,0.5,1.6216897375113881,1.1534303365962781,19.980936513010022,0.3932572104592971,500.0
72,global,1.0,0.5,0.5,2.55166219222266,1.5283513847878143,19.968201416784208,0.4531971497161722,500.0
18,focal,1.0,0.5,0.5,2.70763399658241,1.2999239002659726,20.113513689505552,0.4916169834557758,500.0
53,ring,1.0,2.0,2.0,4.9645773806335045,5.419729725959421,21.279163387036245,0.45203379101559515,197.2
21,focal,1.0,1.0,0.5,10.599470571030748,6.0481759820988605,21.46941348082624,0.11267651883012926,500.0
48,ring,1.0,1.0,0.5,10.954907263928083,5.000672152853485,21.415039511865995,0.16523349729123724,500.0
19,focal,1.0,0.5,1.0,11.454937228420574,5.815858255268176,21.50039899741812,0.10678363230721513,500.0
46,ring,1.0,0.5,1.0,12.431596569614918,5.864232338503976,21.462661431937796,0.1319315475586643,500.0
47,ring,1.0,0.5,2.0,13.284662280027783,8.87670766895521,21.56031513415985,0.11838822735914874,420.7
75,global,1.0,1.0,0.5,13.561791589031568,6.061252355501284,21.50822378266537,0.10591237005221348,500.0
73,global,1.0,0.5,1.0,14.980561129129065,5.251027282078897,21.535084527996048,0.12408985124977824,500.0
76,global,1.0,1.0,1.0,17.226230722948273,6.033484216231378,21.585101868285314,0.09578800678114525,500.0
22,focal,1.0,1.0,1.0,18.290074111878972,4.919609244672306,21.60532117226167,0.08812593815764994,500.0
51,ring,1.0,2.0,0.5,18.493850628057146,5.674249888084575,21.59625592468772,0.1633093079892432,469.7
50,ring,1.0,1.0,2.0,18.533217474808154,5.203810969008325,21.624097257841235,0.06355162734547104,472.5
52,ring,1.0,2.0,1.0,18.535767735028337,5.3983785038112035,21.57703446564897,0.1279518498580705,470.7
49,ring,1.0,1.0,1.0,18.620321141644368,4.058640433062891,21.60781158309552,0.10852384406273011,500.0
26,focal,1.0,2.0,2.0,20.129363695750772,0.08323206121995416,21.584310858057727,0.044676139133093304,500.0
25,focal,1.0,2.0,1.0,20.146052611550125,0.08811843756803407,21.620234630269326,0.05969261817667832,500.0
80,global,1.0,2.0,2.0,20.1807652698931,0.1472763943068661,21.62182918346001,0.04455114474835532,500.0
23,focal,1.0,1.0,2.0,20.202600437199806,0.1645634931068904,21.610373844851782,0.049511894729854074,500.0
74,global,1.0,0.5,2.0,20.220118280072416,0.1713813985035326,21.611972996432637,0.04336188232782255,500.0
24,focal,1.0,2.0,0.5,20.2266963575169,0.14196370449114595,21.629423384314837,0.048169164540324674,500.0
77,global,1.0,1.0,2.0,20.238565800282927,0.19195850913841334,21.65058392527936,0.03653812431902028,500.0
79,global,1.0,2.0,1.0,20.254812766212254,0.10463584789068438,21.637464812988064,0.045161209424316395,500.0
20,focal,1.0,0.5,2.0,20.260426293732344,0.21467233997404295,21.626640760221246,0.05256095884338791,500.0
78,global,1.0,2.0,0.5,20.32621930440153,0.13769114077863948,21.637528000492996,0.061558360996230105,500.0
